sentence	algorithm	result	time_ms	jieba_match
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	FMM	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	0.0747	False
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	BMM	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	0.0552	False
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	BiMM	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	0.0785	False
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	HMM_baseline	中国/科学/院计/算技/术研/究所/自然/语言/处理/实验/室正/在研/究基/于统/计与/规则/相结/合的/中文/分词/算法	2.0528	False
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	HMM_trained	中国/科学院/计算/技术/研究/所/自然/语言/处理/实验/室正/在/研究/基于/统计/与/规则/相/结合/的/中文/分词/算/法	28.8055	False
中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	Hybrid	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	1.1004	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	FMM	在/2/0/2/4/年/1/2/月/3/1/日/举行/的/学术会议/上/专家/讨论/了/D/e/e/p/S/e/e/k/等/大模型/对/语料库/构建/的/影响	0.1812	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	BMM	在/2/0/2/4/年/1/2/月/3/1/日/举行/的/学术会议/上/专家/讨论/了/D/e/e/p/S/e/e/k/等/大模型/对/语料库/构建/的/影响	0.1185	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	BiMM	在/2/0/2/4/年/1/2/月/3/1/日/举行/的/学术会议/上/专家/讨论/了/D/e/e/p/S/e/e/k/等/大模型/对/语料库/构建/的/影响	0.2565	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	HMM_baseline	在/20/24/年1/2月/31/日举/行的/学术/会议/上专/家讨/论了/De/ep/Se/ek/等大模/型对/语料/库构/建的/影响	2.3163	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	HMM_trained	在/20/2/4年/1/2月/3/1日/举行/的/学术/会议/上/专家/讨论/了/De/ep/Se/ek/等/大/模型/对/语料/库构/建/的/影响	27.3153	False
在2024年12月31日举行的学术会议上专家讨论了DeepSeek等大模型对语料库构建的影响	Hybrid	在/2024年12月31日/举行/的/学术会议/上/专家/讨论/了/DeepS/eek/等/大模型/对/语料库/构建/的/影响	2.6973	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	FMM	南京市/长江大桥/上游/的/白云观/附近/居民/表示/明天/下雨/可能/影响/特种兵旅游/出行/计划	0.0911	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	BMM	南京市/长江大桥/上游/的/白云观/附近/居民/表示/明天/下雨/可能/影响/特种兵旅游/出行/计划	0.0549	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	BiMM	南京市/长江大桥/上游/的/白云观/附近/居民/表示/明天/下雨/可能/影响/特种兵旅游/出行/计划	0.0766	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	HMM_baseline	南/京市/长江/大桥/上游/的白/云观/附近/居民/表示/明天/下雨/可能/影响/特种/兵旅/游出/行计/划	1.7496	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	HMM_trained	南京/市长/江/大桥/上游/的/白/云观/附/近/居民/表示/明天/下雨/可能/影响/特种/兵/旅游/出行/计划	29.6986	False
南京市长江大桥上游的白云观附近居民表示明天下雨可能影响特种兵旅游出行计划	Hybrid	南京市/长江大桥/上游/的/白云观/附近/居民/表示/明天/下雨/可能/影响/特种兵/旅游/出行/计划	1.2223	True
