sentence	BiMM	Hybrid	jieba
研究生命起源	研究/生命/起源	研究/生命/起源	研究/生命/起源
这个苹果不大好吃	这个/苹果/不大/好吃	这个/苹果/不大/好吃	这个/苹果/不/大/好吃
我喜欢上一个人	我/喜欢/上/一个人	我/喜欢/上/一/个人	我/喜欢/上/一个/人
明天下雨	明天/下雨	明天/下雨	明天/下雨
白云观道士	白云观/道士	白云观/道士	白云观/道士
新闻报道发布会见	新闻/报道/发布/会见	新闻/报道/发布/会见	新闻报道/发布会/见
和尚面好吃	和尚/面/好吃	和尚/面/好吃	和尚/面/好吃
现在将来	现在/将来	现在/将来	现在/将来
南京市长江大桥	南京市/长江大桥	南京市/长江大桥	南京市/长江大桥
乒乓球拍卖完了	乒/乓/球/拍卖/完/了	乒乓球/拍卖/完了	乒乓球/拍卖/完/了
新商品留给部分老弱病残	新/商品/留给/部分/老/弱/病/残	新/商品/留给/部分/老弱/病/残	新/商品/留给/部分/老弱病残
他这个人没说过什么	他/这个/人/没/说/过/什么	他/这个/人/没说/过/什么	他/这个/人/没/说/过/什么
三个和尚没水喝	三个/和尚/没水/喝	三/个/和尚/没水/喝	三个/和尚/没水/喝
咬死猎人的狗	咬/死/猎人/的/狗	咬死/猎人/的狗	咬/死/猎人/的/狗
我们中出了一个叛徒	我们/中出/了/一个/叛徒	我们/中出/了/一/个/叛徒	我们/中出/了/一个/叛徒
进口水果与国产水果价格差异明显	进口/水果/与/国产/水果/价格/差异/明显	进口/水果/与/国产/水果/价格/差异/明显	进口/水果/与/国产/水果/价格/差异/明显
他走了大约半小时	他/走/了/大约/半小时	他/走/了/大约/半小时	他/走/了/大约/半小时
学生会上发言	学生/会上/发言	学生/会上/发言	学生/会上/发言
政府有关部门表示支持	政府/有关/部门/表示/支持	政府/有关/部门/表示/支持	政府/有关/部门/表示/支持
南京市长江大桥欢迎您	南京市/长江大桥/欢/迎/您	南京市/长江大桥/欢迎/您	南京市/长江大桥/欢迎您
