[2026-06-02 17:14:33] | PHASE=3 | TASK=train_hmm | HMM 训练完成 | 语料=E:\自然语言处理\大作业\data\corpus\train_corpus.txt | 句数目标=10000 | |V|=4289 | 平滑=转移分母count(s)+4,发射分母count(s)+|V| | 模型=E:\自然语言处理\大作业\models\hmm_params.json
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=DeepSeek大模型在2024年引发算力需求激增 | baseline=['De', 'ep', 'Se', 'ek', '大模', '型在', '20', '24', '年引', '发算', '力需', '求激', '增'] | trained=['D', 'ee', 'pS', 'ee', 'k大', '模型', '在', '20', '2', '4年', '引发算力', '需求', '激增']
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=年轻人热衷Citywalk和搭子社交 | baseline=['年', '轻人', '热衷', 'Ci', 'ty', 'wa', 'lk', '和搭', '子社', '交'] | trained=['年', '轻人', '热衷', 'Ci', 'ty', 'wa', 'lk', '和', '搭子', '社交']
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=黑神话悟空带动谷子经济升温 | baseline=['黑神', '话悟', '空带', '动谷', '子经', '济升', '温'] | trained=['黑神话', '悟空', '带动', '谷子', '经济', '升温']
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=低空经济与新质生产力写入政策文件 | baseline=['低', '空经', '济与', '新质', '生产', '力写', '入政', '策文', '件'] | trained=['低空', '经济', '与', '新质', '生产力', '写入', '政策', '文件']
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=大学生自称脆皮大学生但情绪价值拉满 | baseline=['大', '学生', '自称', '脆皮', '大学', '生但', '情绪', '价值', '拉满'] | trained=['大', '学生', '自称', '脆皮', '大', '学生', '但', '情绪', '价值', '拉满']
[2026-06-02 17:14:33] | PHASE=3 | TASK=compare | OOV sentence=多模态Agent结合RAG实现语料库问答 | baseline=['多模', '态A', 'ge', 'nt', '结合', 'RA', 'G实', '现语料', '库问', '答'] | trained=['多', '模态', 'Ag', 'en', 't', '结合', 'R', 'AG', '实现', '语料', '库', '问答']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=通义千问与文心一言竞争AIGC市场 | baseline=['通', '义千', '问与', '文心', '一言', '竞争', 'AI', 'GC', '市场'] | trained=['通义', '千问', '与', '文心', '一言', '竞争', 'AI', 'GC', '市场']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=Kimi以长上下文出圈成为电子榨菜 | baseline=['Ki', 'mi', '以长', '上下', '文出', '圈成', '为电', '子榨', '菜'] | trained=['K', 'i', 'mi', '以长', '上', '下', '文出', '圈', '成为', '电子', '榨菜']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=特种兵旅游和显眼包成为网络热词 | baseline=['特种', '兵旅', '游和', '显眼', '包成', '为网', '络热', '词'] | trained=['特', '种兵', '旅游', '和', '显眼', '包成', '为', '网络', '热词']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=尊嘟假嘟与挖呀挖科目三刷屏短视频 | baseline=['尊', '嘟假', '嘟与', '挖呀', '挖科', '目三', '刷屏', '短视', '频'] | trained=['尊嘟', '假嘟', '与', '挖', '呀', '挖', '科目', '三刷屏', '短视', '频']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=具身智能需要微调与大量算力支持 | baseline=['具身', '智能', '需要', '微调', '与大', '量算', '力支', '持'] | trained=['具身', '智能', '需要', '微调', '与', '大量', '算力', '支持']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=Sora视频生成展示多模态潜力 | baseline=['So', 'ra', '视频', '生成', '展示', '多模', '态潜', '力'] | trained=['S', 'or', 'a视', '频生', '成展', '示多', '模态', '潜力']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=听劝式营销在2025年仍然有效 | baseline=['听劝', '式营', '销在', '20', '25', '年仍', '然有', '效'] | trained=['听', '劝式', '营销', '在', '20', '2', '5年', '仍然', '有效']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=多巴胺穿搭与情绪价值消费持续流行 | baseline=['多', '巴胺', '穿搭', '与情', '绪价', '值消', '费持', '续流', '行'] | trained=['多', '巴胺', '穿', '搭', '与', '情绪', '价值', '消费', '持续', '流行']
[2026-06-02 17:14:34] | PHASE=3 | TASK=compare | OOV sentence=政府报告强调发展新质生产力与低空经济 | baseline=['政', '府报', '告强', '调发', '展新', '质生', '产力', '与低', '空经', '济'] | trained=['政府', '报告', '强调', '发展', '新', '质生', '产力', '与', '低空', '经济']
