test_set	sentence	BiMM	Hybrid	jieba	BiMM_match	Hybrid_match
basic	我来到北京清华大学学习自然语言处理	我/来到/北京/清华大学/学习/自然语言处理	我/来到/北京/清华大学/学习/自然语言处理	我/来到/北京/清华大学/学习/自然语言/处理	False	False
basic	自然语言处理	自然语言处理	自然语言处理	自然语言/处理	False	False
basic	小明硕士毕业于中国科学院计算所	小明/硕士/毕业/于/中国/科学院/计算所	小明/硕士/毕业/于/中国/科学院/计算所	小明/硕士/毕业/于/中国科学院/计算所	False	False
basic	研究生命起源	研究/生命/起源	研究/生命/起源	研究/生命/起源	True	True
ambiguity	研究生命起源	研究/生命/起源	研究/生命/起源	研究/生命/起源	True	True
ambiguity	这个苹果不大好吃	这个/苹果/不大/好吃	这个/苹果/不大/好吃	这个/苹果/不/大/好吃	False	False
ambiguity	我喜欢上一个人	我/喜欢/上/一个人	我/喜欢/上/一/个人	我/喜欢/上/一个/人	False	False
ambiguity	明天下雨	明天/下雨	明天/下雨	明天/下雨	True	True
ambiguity	白云观道士	白云观/道士	白云观/道士	白云观/道士	True	True
ambiguity	新闻报道发布会见	新闻/报道/发布/会见	新闻/报道/发布/会见	新闻报道/发布会/见	False	False
ambiguity	和尚面好吃	和尚/面/好吃	和尚/面/好吃	和尚/面/好吃	True	True
ambiguity	现在将来	现在/将来	现在/将来	现在/将来	True	True
ambiguity	南京市长江大桥	南京市/长江大桥	南京市/长江大桥	南京市/长江大桥	True	True
ambiguity	乒乓球拍卖完了	乒/乓/球/拍卖/完/了	乒乓球/拍卖/完了	乒乓球/拍卖/完/了	False	False
ambiguity	新商品留给部分老弱病残	新/商品/留给/部分/老/弱/病/残	新/商品/留给/部分/老弱/病/残	新/商品/留给/部分/老弱病残	False	False
ambiguity	他这个人没说过什么	他/这个/人/没/说/过/什么	他/这个/人/没说/过/什么	他/这个/人/没/说/过/什么	True	False
ambiguity	三个和尚没水喝	三个/和尚/没水/喝	三/个/和尚/没水/喝	三个/和尚/没水/喝	True	False
ambiguity	咬死猎人的狗	咬/死/猎人/的/狗	咬死/猎人/的狗	咬/死/猎人/的/狗	True	False
ambiguity	我们中出了一个叛徒	我们/中出/了/一个/叛徒	我们/中出/了/一/个/叛徒	我们/中出/了/一个/叛徒	True	False
ambiguity	进口水果与国产水果价格差异明显	进口/水果/与/国产/水果/价格/差异/明显	进口/水果/与/国产/水果/价格/差异/明显	进口/水果/与/国产/水果/价格/差异/明显	True	True
ambiguity	他走了大约半小时	他/走/了/大约/半小时	他/走/了/大约/半小时	他/走/了/大约/半小时	True	True
ambiguity	学生会上发言	学生/会上/发言	学生/会上/发言	学生/会上/发言	True	True
ambiguity	政府有关部门表示支持	政府/有关/部门/表示/支持	政府/有关/部门/表示/支持	政府/有关/部门/表示/支持	True	True
ambiguity	南京市长江大桥欢迎您	南京市/长江大桥/欢/迎/您	南京市/长江大桥/欢迎/您	南京市/长江大桥/欢迎您	False	False
oov	DeepSeek大模型在2024年引发算力需求激增	D/e/e/p/S/e/e/k/大模型/在/2/0/2/4/年/引发/算力/需求/激增	DeepSeek/大模型/在/2024年/引发/算力/需求/激增	DeepSeek/大/模型/在/2024/年/引发/算力/需求/激增	False	False
oov	年轻人热衷Citywalk和搭子社交	年轻人/热衷/C/i/t/y/w/a/l/k/和/搭子/社交	年轻人/热衷/Citywalk/和/搭子/社交	年轻人/热衷/Citywalk/和/搭子/社交	False	True
oov	黑神话悟空带动谷子经济升温	黑神话悟空/带动/谷子经济/升温	黑神话/悟空/带动/谷子/经济/升温	黑/神话/悟空/带动/谷子/经济/升温	False	False
oov	低空经济与新质生产力写入政策文件	低空经济/与/新质生产力/写入/政策/文件	低空/经济/与/新质/生产力/写入/政策/文件	低空/经济/与/新质/生产力/写入/政策/文件	False	True
oov	大学生自称脆皮大学生但情绪价值拉满	大学生/自称/脆皮大学生/但/情绪价值/拉满	大学生/自称/脆皮/大学生/但/情绪/价值/拉满	大学生/自称/脆皮/大学生/但/情绪/价值/拉满	False	True
oov	多模态Agent结合RAG实现语料库问答	多模态/Agent/结合/RAG/实现/语料库/问答	多模态/Agent/结合/RAG/实现/语料库/问答	多/模态/Agent/结合/RAG/实现/语料库/问答	False	False
oov	通义千问与文心一言竞争AIGC市场	通义千问/与/文心一言/竞争/AIGC/市场	通义/千/问与/文心/一/言/竞争/AIGC/市场	通义/千问/与/文心/一/言/竞争/AIGC/市场	False	False
oov	Kimi以长上下文出圈成为电子榨菜	Kimi/以长/上下文/出/圈/成为/电子榨菜	Kimi/以长/上下文/出圈/成为/电子/榨菜	Kimi/以长/上下文/出/圈/成为/电子/榨菜	False	False
oov	特种兵旅游和显眼包成为网络热词	特种兵旅游/和/显眼包/成为/网络/热词	特种兵/旅游/和/显眼包/成为/网络/热词	特种兵/旅游/和/显眼/包/成为/网络/热词	False	False
oov	尊嘟假嘟与挖呀挖科目三刷屏短视频	尊嘟假嘟/与/挖呀挖/科目三/刷屏/短/视频	尊嘟/假嘟/与/挖呀挖/科目/三/刷屏/短/视频	尊嘟/假嘟/与/挖/呀/挖/科目/三/刷屏/短/视频	False	False
oov	具身智能需要微调与大量算力支持	具身智能/需要/微调/与/大量/算力/支持	具身/智能/需要/微调/与/大量/算力/支持	具身/智能/需要/微调/与/大量/算力/支持	False	True
oov	Sora视频生成展示多模态潜力	Sora/视频/生成/展示/多模态/潜力	Sora/视频/生成/展示/多模态/潜力	Sora/视频/生成/展示/多/模态/潜力	False	False
oov	听劝式营销在2025年仍然有效	听/劝式/营销/在/2/0/2/5/年/仍然/有效	听/劝式/营销/在/2025年/仍然/有效	听/劝式/营销/在/2025/年/仍然/有效	False	False
oov	多巴胺穿搭与情绪价值消费持续流行	多巴胺/穿/搭/与/情绪价值/消费/持续/流行	多巴胺/穿/搭/与/情绪/价值/消费/持续/流行	多巴胺/穿/搭/与/情绪/价值/消费/持续/流行	False	True
oov	政府报告强调发展新质生产力与低空经济	政府/报告/强调/发展/新质生产力/与/低空经济	政府/报告/强调/发展/新质/生产力/与/低空/经济	政府/报告/强调/发展/新质/生产力/与/低空/经济	False	True
long	中国科学院计算技术研究所自然语言处理实验室正在研究基于统计与规则相结合的中文分词算法	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	中国/科学院/计算技术/研究所/自然语言处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文分词/算法	中国科学院计算技术研究所/自然语言/处理/实验室/正在/研究/基于/统计/与/规则/相结合/的/中文/分词/算法	False	False
