sentence	HMM_baseline	HMM_trained
DeepSeek大模型在2024年引发算力需求激增	De/ep/Se/ek/大模/型在/20/24/年引/发算/力需/求激/增	D/ee/pS/ee/k大/模型/在/20/2/4年/引/发算力/需求/激增
年轻人热衷Citywalk和搭子社交	年/轻人/热衷/Ci/ty/wa/lk/和搭/子社/交	年/轻人/热衷/Ci/ty/wa/lk/和/搭子/社交
黑神话悟空带动谷子经济升温	黑神/话悟/空带/动谷/子经/济升/温	黑神话/悟空/带动/谷子/经济/升温
低空经济与新质生产力写入政策文件	低/空经/济与/新质/生产/力写/入政/策文/件	低空/经济/与/新质/生产力/写入/政策/文件
大学生自称脆皮大学生但情绪价值拉满	大/学生/自称/脆皮/大学/生但/情绪/价值/拉满	大/学生/自称/脆皮/大/学生/但/情绪/价值/拉满
多模态Agent结合RAG实现语料库问答	多模/态A/ge/nt/结合/RA/G实/现语料/库问/答	多/模态/A/ge/nt/结合/R/AG/实现/语料/库/问答
通义千问与文心一言竞争AIGC市场	通/义千/问与/文心/一言/竞争/AI/GC/市场	通义/千问/与/文心/一言/竞争/AI/GC/市场
Kimi以长上下文出圈成为电子榨菜	Ki/mi/以长/上下/文出/圈成/为电/子榨/菜	K/i/mi/以长/上/下/文出/圈/成为/电子/榨菜
特种兵旅游和显眼包成为网络热词	特种/兵旅/游和/显眼/包成/为网/络热/词	特/种兵/旅游/和/显眼/包成/为/网络/热词
尊嘟假嘟与挖呀挖科目三刷屏短视频	尊/嘟假/嘟与/挖呀/挖科/目三/刷屏/短视/频	尊嘟/假嘟/与/挖/呀/挖/科目/三刷屏/短视/频
具身智能需要微调与大量算力支持	具身/智能/需要/微调/与大/量算/力支/持	具身/智能/需要/微调/与/大量/算力/支持
Sora视频生成展示多模态潜力	So/ra/视频/生成/展示/多模/态潜/力	S/or/a视/频生/成展/示多/模态/潜力
听劝式营销在2025年仍然有效	听劝/式营/销在/20/25/年仍/然有/效	听/劝式/营销/在/20/2/5年/仍然/有效
多巴胺穿搭与情绪价值消费持续流行	多/巴胺/穿搭/与情/绪价/值消/费持/续流/行	多/巴胺/穿/搭/与/情绪/价值/消费/持续/流行
政府报告强调发展新质生产力与低空经济	政/府报/告强/调发/展新/质生/产力/与低/空经/济	政府/报告/强调/发展/新/质生/产力/与/低空/经济
