sentence	algorithm	result	time_ms	jieba_match
我来到北京清华大学学习自然语言处理	FMM	我/来到/北京/清华大学/学习/自然语言处理	0.0468	False
我来到北京清华大学学习自然语言处理	BMM	我/来到/北京/清华大学/学习/自然语言处理	0.0255	False
我来到北京清华大学学习自然语言处理	BiMM	我/来到/北京/清华大学/学习/自然语言处理	0.0385	False
我来到北京清华大学学习自然语言处理	HMM_baseline	我/来/到/北京/清华/大学/学习/自然/语言/处理	4.4502	False
我来到北京清华大学学习自然语言处理	HMM_trained	我来/到/北京/清华/大学/学习/自然/语言/处理	27.0980	False
我来到北京清华大学学习自然语言处理	Hybrid	我/来到/北京/清华大学/学习/自然语言处理	0.8515	False
自然语言处理	FMM	自然语言处理	0.0062	False
自然语言处理	BMM	自然语言处理	0.0046	False
自然语言处理	BiMM	自然语言处理	0.0057	False
自然语言处理	HMM_baseline	自然/语言/处理	0.4765	False
自然语言处理	HMM_trained	自然/语言/处理	19.8810	False
自然语言处理	Hybrid	自然语言处理	0.5584	False
小明硕士毕业于中国科学院计算所	FMM	小明/硕士/毕业/于/中国/科学院/计算所	0.0384	False
小明硕士毕业于中国科学院计算所	BMM	小明/硕士/毕业/于/中国/科学院/计算所	0.0231	False
小明硕士毕业于中国科学院计算所	BiMM	小明/硕士/毕业/于/中国/科学院/计算所	0.0353	False
小明硕士毕业于中国科学院计算所	HMM_baseline	小/明硕/士毕/业于/中国/科学/院计/算所	1.0177	False
小明硕士毕业于中国科学院计算所	HMM_trained	小明/硕士/毕业/于/中国/科学院/计算/所	22.7583	False
小明硕士毕业于中国科学院计算所	Hybrid	小明/硕士/毕业/于/中国/科学院/计算所	0.7819	False
研究生命起源	FMM	研究生/命/起源	0.2510	False
研究生命起源	BMM	研究/生命/起源	0.0172	True
研究生命起源	BiMM	研究/生命/起源	0.0311	True
研究生命起源	HMM_baseline	研/究生/命起/源	0.6594	False
研究生命起源	HMM_trained	研究/生命/起源	24.9757	True
研究生命起源	Hybrid	研究/生命/起源	0.5767	True
