[2026-06-02 17:14:33] | PHASE=4 | TASK=hmm_trained | HMM 训练完成 | 语料=E:\自然语言处理\大作业\data\corpus\train_corpus.txt | 句数目标=10000 | |V|=4289 | 平滑=转移分母count(s)+4,发射分母count(s)+|V| | 模型=E:\自然语言处理\大作业\models\hmm_params.json
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=研究生命起源 | BiMM=['研究', '生命', '起源'] | FMM=['研究生', '命', '起源'] | BMM=['研究', '生命', '起源']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=这个苹果不大好吃 | BiMM=['这个', '苹果', '不大', '好吃'] | FMM=['这个', '苹果', '不大', '好吃'] | BMM=['这个', '苹果', '不大', '好吃']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=我喜欢上一个人 | BiMM=['我', '喜欢', '上', '一个人'] | FMM=['我', '喜欢', '上', '一个人'] | BMM=['我', '喜欢', '上', '一个人']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=明天下雨 | BiMM=['明天', '下雨'] | FMM=['明天', '下雨'] | BMM=['明天', '下雨']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=白云观道士 | BiMM=['白云观', '道士'] | FMM=['白云观', '道士'] | BMM=['白云观', '道士']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=新闻报道发布会见 | BiMM=['新闻', '报道', '发布', '会见'] | FMM=['新闻', '报道', '发布会', '见'] | BMM=['新闻', '报道', '发布', '会见']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=和尚面好吃 | BiMM=['和尚', '面', '好吃'] | FMM=['和尚', '面', '好吃'] | BMM=['和尚', '面', '好吃']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=现在将来 | BiMM=['现在', '将来'] | FMM=['现在', '将来'] | BMM=['现在', '将来']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=南京市长江大桥 | BiMM=['南京市', '长江大桥'] | FMM=['南京市', '长江大桥'] | BMM=['南京市', '长江大桥']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=乒乓球拍卖完了 | BiMM=['乒', '乓', '球', '拍卖', '完', '了'] | FMM=['乒', '乓', '球', '拍卖', '完', '了'] | BMM=['乒', '乓', '球', '拍卖', '完', '了']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=新商品留给部分老弱病残 | BiMM=['新', '商品', '留给', '部分', '老', '弱', '病', '残'] | FMM=['新', '商品', '留给', '部分', '老', '弱', '病', '残'] | BMM=['新', '商品', '留给', '部分', '老', '弱', '病', '残']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=他这个人没说过什么 | BiMM=['他', '这个', '人', '没', '说', '过', '什么'] | FMM=['他', '这个', '人', '没', '说', '过', '什么'] | BMM=['他', '这个', '人', '没', '说', '过', '什么']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=三个和尚没水喝 | BiMM=['三个', '和尚', '没水', '喝'] | FMM=['三个', '和尚', '没水', '喝'] | BMM=['三个', '和尚', '没水', '喝']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=咬死猎人的狗 | BiMM=['咬', '死', '猎人', '的', '狗'] | FMM=['咬', '死', '猎人', '的', '狗'] | BMM=['咬', '死', '猎人', '的', '狗']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=我们中出了一个叛徒 | BiMM=['我们', '中出', '了', '一个', '叛徒'] | FMM=['我们', '中出', '了', '一个', '叛徒'] | BMM=['我们', '中出', '了', '一个', '叛徒']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=进口水果与国产水果价格差异明显 | BiMM=['进口', '水果', '与', '国产', '水果', '价格', '差异', '明显'] | FMM=['进口', '水果', '与', '国产', '水果', '价格', '差异', '明显'] | BMM=['进口', '水果', '与', '国产', '水果', '价格', '差异', '明显']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=他走了大约半小时 | BiMM=['他', '走', '了', '大约', '半小时'] | FMM=['他', '走', '了', '大约', '半小时'] | BMM=['他', '走', '了', '大约', '半小时']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=学生会上发言 | BiMM=['学生', '会上', '发言'] | FMM=['学生', '会上', '发言'] | BMM=['学生', '会上', '发言']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=政府有关部门表示支持 | BiMM=['政府', '有关', '部门', '表示', '支持'] | FMM=['政府', '有关', '部门', '表示', '支持'] | BMM=['政府', '有关', '部门', '表示', '支持']
[2026-06-02 17:14:34] | PHASE=4 | TASK=BiMM | sentence=南京市长江大桥欢迎您 | BiMM=['南京市', '长江大桥', '欢', '迎', '您'] | FMM=['南京市', '长江大桥', '欢', '迎', '您'] | BMM=['南京市', '长江大桥', '欢', '迎', '您']
[2026-06-02 17:14:34] | PHASE=4 | TASK=stats | 歧义集统计 | n=20 | BiMM=FMM 18/20 | BiMM=BMM 20/20
